Species,Order,Parvorder,Family,Epoch,Epoch.Range,Epoch Time,Period,Width,no. specimens
Prosqualodon davidis,Cetacea,Odontoceti,NA,Early Miocene,17.1-23,23,Neogene,378,1
Prosqualodon hamiltoni,Cetacea,Odontoceti,Squalodontidae,Mid Miocene,11.2-17.1,17.1,Neogene,340,1
Protocetus atavus,Cetacea,Archaeoceti,Protocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,239,1
Protoglobicephala mexicana,Cetacea,Odontoceti,Delphinidae,Pliocene,2.58-5.3,5.3,Neogene,272,1
Qaisracetus arifi,Cetacea,Archaeoceti,Protocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,280,1
Remingtonocetus domandaensis,Cetacea,Archaeoceti,Remingtonocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,250,1
Remingtonocetus harudiensis,Cetacea,Archaeoceti,Remingtonocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,230,1
Rodhocetus kasranii,Cetacea,Archaeoceti,Protocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,260,2
Septemtriocetus bosselaersi,Cetacea,Odontoceti,Phocoenidae,Pliocene,2.58-5.3,5.3,Neogene,190,1
Sousa chinensis,Cetacea,Odontoceti,Delphinidae,Pliocene,2.58-5.3,5.3,Neogene,214.2,3
Sousa teuszii,Cetacea,Odontoceti,Delphinidae,Holocene,0-0.012,0.012,Quaternary,217.1,1
Stenella longirostris,Cetacea,Odontoceti,Delphinidae,Holocene,0-0.012,0.012,Quaternary,135,3
Steno bredanensis,Cetacea,Odontoceti,Delphinidae,Holocene,0-0.012,0.012,Quaternary,245.85,2
Tagicetus joneti,Cetacea,Odontoceti,NA,Mid Miocene,11.2-17.1,17.1,Neogene,166,1
Takracetus simus,Cetacea,Archaeoceti,Protocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,266,1
Titanocetus sammarinensis,Cetacea,Mysteceti,Cetotheriidae,Early Miocene,17.1-23,23,Neogene,720,1
Tokarahia lophocephalus,Cetacea,Mysteceti,Eomysticetidae,Late Oligocene,23-28.45,28.45,Paleogene,690,1
Tursiops aduncus,Cetacea,Odontoceti,Delphinidae,Pliocene,2.58-5.3,5.3,Neogene,218.5,4
Tursiops truncatus,Cetacea,Odontoceti,Delphinidae,Pliocene,2.58-5.3,5.3,Neogene,254.5,2
Uranocetus gramensis,Cetacea,Mysteceti,NA,Late Miocene,5.3-11.2,11.2,Neogene,736,1
Waharoa ruwehnua,Cetacea,Mysteceti,Eomysticetidae,Late Oligocene,28.45,28.45,Paleogene,324,1
Waipatia maerewhenua,Cetacea,Odontoceti,Waipatiidae,Late Oligocene,23-28.45,28.45,Paleogene,244,1
Ziphius cavirostris,Cetacea,Odontoceti,Ziphiidae,Pleistocene,0.012-2.58,2.58,Quaternary,390,1
Zygophyseter varolai,Cetacea,Odontoceti,NA,Late Miocene,5.3-11.2,11.2,Neogene,745,1
Mystacodon selenensis,Cetacea,Mysteceti,Mystacodontidae,Late Eocene,45,36.4,Paleogene,399.6,1
